"","outcome","CU_UKPDS","sex","c_index"
"1","mortality","CU","Male",0.787000798977638
"6","mortality","CU","Female",0.809142855093204
"11","mortality","CU","All",0.798414073827221
"2","stroke","CU","Male",0.702388898666378
"4","stroke","UKPDS","Male",0.688453218194453
"7","stroke","CU","Female",0.730032403083661
"9","stroke","UKPDS","Female",0.717181998195213
"12","stroke","CU","All",0.713135497544565
"14","stroke","UKPDS","All",0.703482355021723
"3","chd","CU","Male",0.643771682712736
"5","chd","UKPDS","Male",0.611927719760987
"8","chd","CU","Female",0.725637425898579
"10","chd","UKPDS","Female",0.683804970279977
"13","chd","CU","All",0.688157875263007
"15","chd","UKPDS","All",0.650603466612855
