"","cost","Year","Service"
"1",119.427347904471,1961,"Inpatient"
"2",139.013253982455,1962,"Inpatient"
"3",165.68296411135,1963,"Inpatient"
"4",172.120365336957,1964,"Inpatient"
"5",201.587001236705,1965,"Inpatient"
"6",181.733545221179,1966,"Inpatient"
"7",166.869795842446,1967,"Inpatient"
"8",149.35730140058,1968,"Inpatient"
"9",136.206393805012,1969,"Inpatient"
"10",130.968689084794,1970,"Inpatient"
"11",143.737739523411,1971,"Inpatient"
"12",173.115577072158,1972,"Inpatient"
"13",221.892020912887,1973,"Inpatient"
"14",200.620766745279,1974,"Inpatient"
"15",188.369323539234,1975,"Inpatient"
"16",239.856275488305,1976,"Inpatient"
"17",231.855322239193,1977,"Inpatient"
"18",271.135189030609,1978,"Inpatient"
"19",356.048047910466,1979,"Inpatient"
"20",453.151979934076,1980,"Inpatient"
"21",547.228071373582,1981,"Inpatient"
"22",598.554024803528,1982,"Inpatient"
"23",663.08460107854,1983,"Inpatient"
"24",799.503857773541,1984,"Inpatient"
"25",762.925522067742,1985,"Inpatient"
"26",879.145353638077,1986,"Inpatient"
"27",1082.74792864403,1987,"Inpatient"
"28",1230.31434680354,1988,"Inpatient"
"29",1414.44540986742,1989,"Inpatient"
"30",1579.13281469533,1990,"Inpatient"
"31",1820.82245416838,1991,"Inpatient"
"32",2124.83860034308,1992,"Inpatient"
"33",2450.71304265356,1993,"Inpatient"
"34",2761.56474166228,1994,"Inpatient"
"35",2943.14665203053,1995,"Inpatient"
"36",3248.44554744631,1996,"Inpatient"
"37",3609.75588835014,1997,"Inpatient"
"38",3437.51618671909,1998,"Inpatient"
"39",3378.55355436376,1999,"Inpatient"
"40",3513.93270779606,2000,"Inpatient"
"41",3470.35318007654,2001,"Inpatient"
"42",3407.03583230661,2002,"Inpatient"
"43",3300,2003,"Inpatient"
"44",3458.0060129241,2004,"Inpatient"
"45",3707.87439848981,2005,"Inpatient"
"46",3947.38298070087,2006,"Inpatient"
"47",4334.14688415528,2007,"Inpatient"
"48",3931.11751939287,2008,"Inpatient"
"49",3632.08857200467,2009,"Inpatient"
"50",3888.23032679419,2010,"Inpatient"
"51",4234.15212375692,2011,"Inpatient"
"52",4458.42700530524,2012,"Inpatient"
"53",4680,2013,"Inpatient"
"54",4946.13360461186,2014,"Inpatient"
"55",5248.77720347232,2015,"Inpatient"
"56",5447.09930624195,2016,"Inpatient"
"57",26.738614302344,1961,"A&E"
"58",31.1463114942667,1962,"A&E"
"59",37.1667896781852,1963,"A&E"
"60",36.7029962019643,1964,"A&E"
"61",43.0358401392147,1965,"A&E"
"62",38.2374696019365,1966,"A&E"
"63",34.8483413252992,1967,"A&E"
"64",31.3622268973974,1968,"A&E"
"65",28.0832959219076,1969,"A&E"
"66",25.7954902617297,1970,"A&E"
"67",23.31328194613,1971,"A&E"
"68",22.9991942682787,1972,"A&E"
"69",29.4297967065102,1973,"A&E"
"70",32.9746059260764,1974,"A&E"
"71",33.139787425593,1975,"A&E"
"72",42.1665107163348,1976,"A&E"
"73",39.2710077424358,1977,"A&E"
"74",45.9625119189984,1978,"A&E"
"75",60.3795930899159,1979,"A&E"
"76",76.8999716493288,1980,"A&E"
"77",92.9138710762142,1981,"A&E"
"78",100.472353158538,1982,"A&E"
"79",111.198689212413,1983,"A&E"
"80",134.010333697791,1984,"A&E"
"81",133.013411764574,1985,"A&E"
"82",153.28934558372,1986,"A&E"
"83",188.795805085121,1987,"A&E"
"84",212.608591104751,1988,"A&E"
"85",244.653052263818,1989,"A&E"
"86",273.023447560057,1990,"A&E"
"87",314.634156371248,1991,"A&E"
"88",367.270913109929,1992,"A&E"
"89",423.449162243171,1993,"A&E"
"90",476.873697350911,1994,"A&E"
"91",508.228949521626,1995,"A&E"
"92",560.709039276484,1996,"A&E"
"93",623.152450456178,1997,"A&E"
"94",593.544699949108,1998,"A&E"
"95",583.459222764968,1999,"A&E"
"96",606.840300375025,2000,"A&E"
"97",599.316599640031,2001,"A&E"
"98",588.4679890828,2002,"A&E"
"99",570,2003,"A&E"
"100",597.370056529302,2004,"A&E"
"101",640.56035387888,2005,"A&E"
"102",682.20536872015,2006,"A&E"
"103",749.189626804192,2007,"A&E"
"104",774.994327970938,2008,"A&E"
"105",768.070747658648,2009,"A&E"
"106",822.319087665801,2010,"A&E"
"107",895.551575052173,2011,"A&E"
"108",943.115476738949,2012,"A&E"
"109",990,2013,"A&E"
"110",1046.26160129903,2014,"A&E"
"111",1110.2618293736,2015,"A&E"
"112",1152.24347211206,2016,"A&E"
"113",11.3896072262522,1961,"GOPC"
"114",13.2234840414752,1962,"GOPC"
"115",15.8316437849628,1963,"GOPC"
"116",17.7972327421685,1964,"GOPC"
"117",20.8860649453754,1965,"GOPC"
"118",18.6749709387184,1966,"GOPC"
"119",17.0024644294365,1967,"GOPC"
"120",15.0972904632877,1968,"GOPC"
"121",13.9948666810658,1969,"GOPC"
"122",13.0075014402705,1970,"GOPC"
"123",12.4849644967633,1971,"GOPC"
"124",14.8865541005016,1972,"GOPC"
"125",19.0291825418388,1973,"GOPC"
"126",17.3669471993963,1974,"GOPC"
"127",16.7183398754659,1975,"GOPC"
"128",21.2814457050877,1976,"GOPC"
"129",18.6734524641596,1977,"GOPC"
"130",21.8119221306391,1978,"GOPC"
"131",28.6284220626136,1979,"GOPC"
"132",36.4483619189288,1980,"GOPC"
"133",35.3939040466479,1981,"GOPC"
"134",39.9358549407315,1982,"GOPC"
"135",44.2681512839522,1983,"GOPC"
"136",53.3757879014486,1984,"GOPC"
"137",49.452498483373,1985,"GOPC"
"138",56.9736158792572,1986,"GOPC"
"139",70.1674442332081,1987,"GOPC"
"140",80.262251114614,1988,"GOPC"
"141",92.2472927489524,1989,"GOPC"
"142",102.867587280244,1990,"GOPC"
"143",118.634007941978,1991,"GOPC"
"144",138.349700754444,1992,"GOPC"
"145",159.539204666917,1993,"GOPC"
"146",179.71565727115,1994,"GOPC"
"147",191.576665233414,1995,"GOPC"
"148",211.471812622477,1996,"GOPC"
"149",235.056881757191,1997,"GOPC"
"150",223.912590866161,1998,"GOPC"
"151",220.125142687213,1999,"GOPC"
"152",228.887736623435,2000,"GOPC"
"153",226.088397673523,2001,"GOPC"
"154",222.013349021907,2002,"GOPC"
"155",215,2003,"GOPC"
"156",225.319015734577,2004,"GOPC"
"157",241.63806453521,2005,"GOPC"
"158",257.267853083964,2006,"GOPC"
"159",282.520056190955,2007,"GOPC"
"160",292.230524392996,2008,"GOPC"
"161",298.627679450937,2009,"GOPC"
"162",319.70736306711,2010,"GOPC"
"163",348.262039254519,2011,"GOPC"
"164",366.750391029728,2012,"GOPC"
"165",385,2013,"GOPC"
"166",406.920807830425,2014,"GOPC"
"167",431.854188194119,2015,"GOPC"
"168",448.19023055055,2016,"GOPC"
"169",43.3666726661076,1961,"SOPC"
"170",50.5244064178714,1962,"SOPC"
"171",60.5945879454679,1963,"SOPC"
"172",55.1258797237824,1964,"SOPC"
"173",64.493434686081,1965,"SOPC"
"174",65.5037743376622,1966,"SOPC"
"175",59.8622225389803,1967,"SOPC"
"176",56.0250899590592,1968,"SOPC"
"177",51.5725071689091,1969,"SOPC"
"178",47.6893267007623,1970,"SOPC"
"179",43.1309946727139,1971,"SOPC"
"180",40.0507741692674,1972,"SOPC"
"181",51.2055121415136,1973,"SOPC"
"182",42.6015176345618,1974,"SOPC"
"183",44.0655144730527,1975,"SOPC"
"184",56.116245891822,1976,"SOPC"
"185",49.8587408390147,1977,"SOPC"
"186",58.3420508805049,1978,"SOPC"
"187",76.5705070073844,1979,"SOPC"
"188",97.4765246935304,1980,"SOPC"
"189",117.463427529774,1981,"SOPC"
"190",116.535606520173,1982,"SOPC"
