	cost	Year	Service
1	119.4273479	1961	Inpatient
2	139.013254	1962	Inpatient
3	165.6829641	1963	Inpatient
4	172.1203653	1964	Inpatient
5	201.5870012	1965	Inpatient
6	181.7335452	1966	Inpatient
7	166.8697958	1967	Inpatient
8	149.3573014	1968	Inpatient
9	136.2063938	1969	Inpatient
10	130.9686891	1970	Inpatient
11	143.7377395	1971	Inpatient
12	173.1155771	1972	Inpatient
13	221.8920209	1973	Inpatient
14	200.6207667	1974	Inpatient
15	188.3693235	1975	Inpatient
16	239.8562755	1976	Inpatient
17	231.8553222	1977	Inpatient
18	271.135189	1978	Inpatient
19	356.0480479	1979	Inpatient
20	453.1519799	1980	Inpatient
21	547.2280714	1981	Inpatient
22	598.5540248	1982	Inpatient
23	663.0846011	1983	Inpatient
24	799.5038578	1984	Inpatient
25	762.9255221	1985	Inpatient
26	879.1453536	1986	Inpatient
27	1082.747929	1987	Inpatient
28	1230.314347	1988	Inpatient
29	1414.44541	1989	Inpatient
30	1579.132815	1990	Inpatient
31	1820.822454	1991	Inpatient
32	2124.8386	1992	Inpatient
33	2450.713043	1993	Inpatient
34	2761.564742	1994	Inpatient
35	2943.146652	1995	Inpatient
36	3248.445547	1996	Inpatient
37	3609.755888	1997	Inpatient
38	3437.516187	1998	Inpatient
39	3378.553554	1999	Inpatient
40	3513.932708	2000	Inpatient
41	3470.35318	2001	Inpatient
42	3407.035832	2002	Inpatient
43	3300	2003	Inpatient
44	3458.006013	2004	Inpatient
45	3707.874398	2005	Inpatient
46	3947.382981	2006	Inpatient
47	4334.146884	2007	Inpatient
48	3931.117519	2008	Inpatient
49	3632.088572	2009	Inpatient
50	3888.230327	2010	Inpatient
51	4234.152124	2011	Inpatient
52	4458.427005	2012	Inpatient
53	4680	2013	Inpatient
54	4946.133605	2014	Inpatient
55	5248.777203	2015	Inpatient
56	5447.099306	2016	Inpatient
57	26.7386143	1961	A&E
58	31.14631149	1962	A&E
59	37.16678968	1963	A&E
60	36.7029962	1964	A&E
61	43.03584014	1965	A&E
62	38.2374696	1966	A&E
63	34.84834133	1967	A&E
64	31.3622269	1968	A&E
65	28.08329592	1969	A&E
66	25.79549026	1970	A&E
67	23.31328195	1971	A&E
68	22.99919427	1972	A&E
69	29.42979671	1973	A&E
70	32.97460593	1974	A&E
71	33.13978743	1975	A&E
72	42.16651072	1976	A&E
73	39.27100774	1977	A&E
74	45.96251192	1978	A&E
75	60.37959309	1979	A&E
76	76.89997165	1980	A&E
77	92.91387108	1981	A&E
78	100.4723532	1982	A&E
79	111.1986892	1983	A&E
80	134.0103337	1984	A&E
81	133.0134118	1985	A&E
82	153.2893456	1986	A&E
83	188.7958051	1987	A&E
84	212.6085911	1988	A&E
85	244.6530523	1989	A&E
86	273.0234476	1990	A&E
87	314.6341564	1991	A&E
88	367.2709131	1992	A&E
89	423.4491622	1993	A&E
90	476.8736974	1994	A&E
91	508.2289495	1995	A&E
92	560.7090393	1996	A&E
93	623.1524505	1997	A&E
94	593.5446999	1998	A&E
95	583.4592228	1999	A&E
96	606.8403004	2000	A&E
97	599.3165996	2001	A&E
98	588.4679891	2002	A&E
99	570	2003	A&E
100	597.3700565	2004	A&E
101	640.5603539	2005	A&E
102	682.2053687	2006	A&E
103	749.1896268	2007	A&E
104	774.994328	2008	A&E
105	768.0707477	2009	A&E
106	822.3190877	2010	A&E
107	895.5515751	2011	A&E
108	943.1154767	2012	A&E
109	990	2013	A&E
110	1046.261601	2014	A&E
111	1110.261829	2015	A&E
112	1152.243472	2016	A&E
113	11.38960723	1961	GOPC
114	13.22348404	1962	GOPC
115	15.83164378	1963	GOPC
116	17.79723274	1964	GOPC
117	20.88606495	1965	GOPC
118	18.67497094	1966	GOPC
119	17.00246443	1967	GOPC
120	15.09729046	1968	GOPC
121	13.99486668	1969	GOPC
122	13.00750144	1970	GOPC
123	12.4849645	1971	GOPC
124	14.8865541	1972	GOPC
125	19.02918254	1973	GOPC
126	17.3669472	1974	GOPC
127	16.71833988	1975	GOPC
128	21.28144571	1976	GOPC
129	18.67345246	1977	GOPC
130	21.81192213	1978	GOPC
131	28.62842206	1979	GOPC
132	36.44836192	1980	GOPC
133	35.39390405	1981	GOPC
134	39.93585494	1982	GOPC
135	44.26815128	1983	GOPC
136	53.3757879	1984	GOPC
137	49.45249848	1985	GOPC
138	56.97361588	1986	GOPC
139	70.16744423	1987	GOPC
140	80.26225111	1988	GOPC
141	92.24729275	1989	GOPC
142	102.8675873	1990	GOPC
143	118.6340079	1991	GOPC
144	138.3497008	1992	GOPC
145	159.5392047	1993	GOPC
146	179.7156573	1994	GOPC
147	191.5766652	1995	GOPC
148	211.4718126	1996	GOPC
149	235.0568818	1997	GOPC
150	223.9125909	1998	GOPC
151	220.1251427	1999	GOPC
152	228.8877366	2000	GOPC
153	226.0883977	2001	GOPC
154	222.013349	2002	GOPC
155	215	2003	GOPC
156	225.3190157	2004	GOPC
157	241.6380645	2005	GOPC
158	257.2678531	2006	GOPC
159	282.5200562	2007	GOPC
160	292.2305244	2008	GOPC
161	298.6276795	2009	GOPC
162	319.7073631	2010	GOPC
163	348.2620393	2011	GOPC
164	366.750391	2012	GOPC
165	385	2013	GOPC
166	406.9208078	2014	GOPC
167	431.8541882	2015	GOPC
168	448.1902306	2016	GOPC
169	43.36667267	1961	SOPC
170	50.52440642	1962	SOPC
171	60.59458795	1963	SOPC
172	55.12587972	1964	SOPC
173	64.49343469	1965	SOPC
174	65.50377434	1966	SOPC
175	59.86222254	1967	SOPC
176	56.02508996	1968	SOPC
177	51.57250717	1969	SOPC
178	47.6893267	1970	SOPC
179	43.13099467	1971	SOPC
180	40.05077417	1972	SOPC
181	51.20551214	1973	SOPC
182	42.60151763	1974	SOPC
183	44.06551447	1975	SOPC
184	56.11624589	1976	SOPC
185	49.85874084	1977	SOPC
186	58.34205088	1978	SOPC
187	76.57050701	1979	SOPC
188	97.47652469	1980	SOPC
189	117.4634275	1981	SOPC
190	116.5356065	1982	SOPC
191	129.0672133	1983	SOPC
192	155.4742572	1984	SOPC
193	160.4714102	1985	SOPC
194	184.9027247	1986	SOPC
195	227.6713004	1987	SOPC
196	261.3719048	1988	SOPC
197	300.2639685	1989	SOPC
198	335.2031448	1990	SOPC
199	386.644505	1991	SOPC
200	451.3618054	1992	SOPC
201	519.7244094	1993	SOPC
202	585.7156926	1994	SOPC
203	624.3767078	1995	SOPC
204	688.8848767	1996	SOPC
205	765.5283645	1997	SOPC
206	729.1108959	1998	SOPC
207	716.6033783	1999	SOPC
208	745.317617	2000	SOPC
209	736.0542299	2001	SOPC
210	722.6867416	2002	SOPC
211	700	2003	SOPC
212	733.6391179	2004	SOPC
213	786.9764278	2005	SOPC
214	837.8065533	2006	SOPC
215	919.9375254	2007	SOPC
216	878.5946158	2008	SOPC
217	853.5778614	2009	SOPC
218	913.7287102	2010	SOPC
219	995.1106657	2011	SOPC
220	1047.913025	2012	SOPC
221	1100	2013	SOPC
222	1162.595589	2014	SOPC
223	1233.681594	2015	SOPC
224	1280.325539	2016	SOPC
225	65.65170799	1961	Psychiatry
226	76.42229769	1962	Psychiatry
227	91.7193723	1963	Psychiatry
228	80.39729027	1964	Psychiatry
229	73.87911	1965	Psychiatry
230	69.29070786	1966	Psychiatry
231	64.76233307	1967	Psychiatry
232	60.15903244	1968	Psychiatry
233	56.4532639	1969	Psychiatry
234	55.31794562	1970	Psychiatry
235	62.05391504	1971	Psychiatry
236	74.68123067	1972	Psychiatry
237	95.50442126	1973	Psychiatry
238	84.15137368	1974	Psychiatry
239	76.88732294	1975	Psychiatry
240	97.7017293	1976	Psychiatry
241	86.85171321	1977	Psychiatry
242	101.3718081	1978	Psychiatry
243	133.1478737	1979	Psychiatry
244	169.5954352	1980	Psychiatry
245	204.5336589	1981	Psychiatry
246	220.2967334	1982	Psychiatry
247	244.1485374	1983	Psychiatry
248	294.3427662	1984	Psychiatry
249	276.8354786	1985	Psychiatry
250	318.641897	1986	Psychiatry
251	392.4136631	1987	Psychiatry
252	447.4467372	1988	Psychiatry
253	514.2417027	1989	Psychiatry
254	573.9158237	1990	Psychiatry
255	661.6322833	1991	Psychiatry
256	772.1129341	1992	Psychiatry
257	890.292352	1993	Psychiatry
258	1003.373735	1994	Psychiatry
259	1069.697697	1995	Psychiatry
260	1180.563909	1996	Psychiatry
261	1312.095342	1997	Psychiatry
262	1249.843911	1998	Psychiatry
263	1228.648029	1999	Psychiatry
264	1277.414204	2000	Psychiatry
265	1261.687796	2001	Psychiatry
266	1238.913133	2002	Psychiatry
267	1200	2003	Psychiatry
268	1257.603093	2004	Psychiatry
269	1348.568419	2005	Psychiatry
270	1435.354187	2006	Psychiatry
271	1575.956247	2007	Psychiatry
272	1550.046262	2008	Psychiatry
273	1506.007592	2009	Psychiatry
274	1612.108083	2010	Psychiatry
275	1755.239262	2011	Psychiatry
276	1848.249157	2012	Psychiatry
277	1940	2013	Psychiatry
278	2050.377756	2014	Psychiatry
279	2175.787409	2015	Psychiatry
280	2258.110516	2016	Psychiatry
281	678.6135117	1961	ICU
282	798.6596994	1962	ICU
283	961.0409999	1963	ICU
284	1076.456602	1964	ICU
285	1260.447628	1965	ICU
286	1101.768763	1966	ICU
287	994.7996722	1967	ICU
288	910.3980192	1968	ICU
289	853.9094243	1969	ICU
290	786.1430696	1970	ICU
291	759.1703413	1971	ICU
292	905.1670541	1972	ICU
293	1160.229272	1973	ICU
294	1061.044817	1974	ICU
295	1014.130458	1975	ICU
296	1289.739135	1976	ICU
297	1175.518287	1977	ICU
298	1375.397522	1978	ICU
299	1806.554031	1979	ICU
300	2299.340349	1980	ICU
301	2298.20615	1981	ICU
302	2593.377758	1982	ICU
303	2872.675979	1983	ICU
304	3463.804457	1984	ICU
305	3162.701072	1985	ICU
306	3644.605587	1986	ICU
307	4488.653419	1987	ICU
308	5183.593075	1988	ICU
309	5965.169836	1989	ICU
310	6654.323083	1990	ICU
311	7668.940627	1991	ICU
312	8951.29283	1992	ICU
313	10320.61957	1993	ICU
314	11633.86403	1994	ICU
315	12392.06642	1995	ICU
316	13677.64936	1996	ICU
317	15201.64107	1997	ICU
318	14480.52753	1998	ICU
319	14226.92159	1999	ICU
320	14795.65878	2000	ICU
321	14613.81007	2001	ICU
322	14350.3114	2002	ICU
323	13900	2003	ICU
324	14565.71587	2004	ICU
325	15616.18019	2005	ICU
326	16622.51429	2006	ICU
327	18252.22298	2007	ICU
328	18366.17457	2008	ICU
329	17843.97582	2009	ICU
330	19103.14508	2010	ICU
331	20804.0233	2011	ICU
332	21909.31823	2012	ICU
333	23000	2013	ICU
334	24308.66565	2014	ICU
335	25796.08646	2015	ICU
336	26771.61746	2016	ICU
337	498.8899294	1961	HDU
338	580.2928207	1962	HDU
339	696.193114	1963	HDU
340	672.2043992	1964	HDU
341	783.6591363	1965	HDU
342	703.3539792	1966	HDU
343	653.4972407	1967	HDU
344	594.0015455	1968	HDU
345	587.8592853	1969	HDU
346	536.143744	1970	HDU
347	487.6155179	1971	HDU
348	580.7654395	1972	HDU
349	740.9914486	1973	HDU
350	685.3219707	1974	HDU
351	716.7748861	1975	HDU
352	912.7576002	1976	HDU
353	801.4747605	1977	HDU
354	936.0945743	1978	HDU
355	1229.729098	1979	HDU
356	1566.356352	1980	HDU
357	1479.039007	1981	HDU
358	1669.99144	1982	HDU
359	1848.817404	1983	HDU
360	2228.142604	1984	HDU
361	2261.432123	1985	HDU
362	2604.569383	1986	HDU
363	3207.193223	1987	HDU
364	3657.196907	1988	HDU
365	4202.657208	1989	HDU
366	4693.381184	1990	HDU
367	5412.272277	1991	HDU
368	6312.910503	1992	HDU
369	7271.340809	1993	HDU
370	8194.049674	1994	HDU
371	8732.987959	1995	HDU
372	9639.004081	1996	HDU
373	10713.08249	1997	HDU
374	10202.96769	1998	HDU
375	10029.51861	1999	HDU
376	10431.52456	2000	HDU
377	10303.78442	2001	HDU
378	10118.10962	2002	HDU
379	9800	2003	HDU
380	10269.85567	2004	HDU
381	11010.80932	2005	HDU
382	11721.66861	2006	HDU
383	12869.30322	2007	HDU
384	10851.87723	2008	HDU
385	9318.180199	2009	HDU
386	9973.438803	2010	HDU
387	10859.12014	2011	HDU
388	11432.31112	2012	HDU
389	12000	2013	HDU
390	12682.97197	2014	HDU
391	13459.95853	2015	HDU
392	13969.50834	2016	HDU
393	167.4690601	1961	Private
394	198.5006844	1962	Private
395	237.6191797	1963	Private
396	270.7389101	1964	Private
397	317.0733168	1965	Private
398	282.5637321	1966	Private
399	256.2797235	1967	Private
400	232.3912115	1968	Private
401	214.4491105	1969	Private
402	194.9488162	1970	Private
403	215.6088001	1971	Private
404	258.279326	1972	Private
405	330.7335458	1973	Private
406	301.680631	1974	Private
407	289.2576468	1975	Private
408	368.3948066	1976	Private
409	333.8394596	1977	Private
410	390.7194391	1978	Private
411	512.6147228	1979	Private
412	652.8095065	1980	Private
413	633.6890255	1981	Private
414	714.9119874	1982	Private
415	792.4625132	1983	Private
416	955.4163886	1984	Private
417	903.870048	1985	Private
418	1041.629182	1986	Private
419	1282.880029	1987	Private
420	1451.530641	1988	Private
421	1670.819299	1989	Private
422	1865.988481	1990	Private
423	2152.122991	1991	Private
424	2510.882696	1992	Private
425	2895.76566	1993	Private
426	3264.449107	1994	Private
427	3479.634121	1995	Private
428	3837.446695	1996	Private
429	4265.463466	1997	Private
430	4062.701916	1998	Private
431	3992.854494	1999	Private
432	4152.498488	2000	Private
433	4100.948974	2001	Private
434	4027.054301	2002	Private
435	3900	2003	Private
436	4087.134688	2004	Private
437	4383.091861	2005	Private
438	4666.245752	2006	Private
439	5123.087252	2007	Private
440	4693.758856	2008	Private
441	4378.021612	2009	Private
442	4686.049412	2010	Private
443	5103.032417	2011	Private
444	5373.100696	2012	Private
445	5640	2013	Private
446	5960.927565	2014	Private
447	6325.654193	2015	Private
448	6564.833215	2016	Private
